gene,mean,std
IL3RA,-0.003343346092632779,1.0344931242090278
IL7R,0.02782438181556996,1.2501809503355623
ITGAM,-0.0022089112683304907,1.0249825067062515
ITGAX,-0.00865649167175601,1.2049792345774024
ITM2C,0.0005921433462611309,1.0791213372409267
JUP,-0.02201463961084534,0.9892579575701311
KARS,0.0024966651544193934,1.0223752924058636
KDR,-0.007901211564111192,1.0707667938102337
KIT,-0.0016783512739552817,1.067645887613408
KLF5,-0.004570208969261665,1.0172196888326281
KLRB1,0.00899763022067997,1.188579978846504
KLRC1,-0.0009718585780721445,1.0354013009483227
KLRD1,-0.0008121961144420333,1.083211465553547
KLRF1,0.0013128915712264336,1.1085993598146564
KRT14,0.0005177153719352638,1.0351710092751318
KRT23,-0.02846143475777218,1.0677447461692555
KRT5,-7.206293766895294e-05,1.025484799669263
KRT6B,0.0020530465337717466,1.0495253482209568
KRT7,-0.02735748482065036,1.0514689999879137
LAG3,0.0018157293352271313,1.0358216715849078
LARS,-0.00906146421793091,1.0113324658675216
LGALSL,-0.00224478833450753,1.0161931757948335
LILRA4,0.0069852865050736394,1.1213023296007925
LPL,-0.01895150782222701,1.1227534219172692
LPXN,0.01341813526815529,1.0654117665384144
LRRC15,0.0011118856793051882,1.0468492130397418
LTB,0.031351970674222115,1.1420645167439674
LY86,0.013104432259800292,1.0880322225325263
LYPD3,-0.011805163045373093,1.010251138114679
MAP3K8,0.00846333003126389,1.0689119569009013
MKI67,-0.009093404919638321,1.0581448401157652
MMP1,-0.00028771576807309023,1.0041313843271054
MMP12,-0.0006666776097214519,1.036581488716982
MMP2,-0.011399172396744253,1.0250730740755576
MMRN2,-0.0013225000381904644,1.121171298306933
MNDA,-0.003407594277628801,1.039194960480753
MRC1,-0.013154027263492653,1.1531739433187687
MUC6,0.006011154843437948,1.0785841379000214
MYBPC1,0.005110764742916439,1.0724517125700248
MYLK,-0.02279803231029418,1.6270374023737826
MYO5B,-0.005485527150689304,1.0039775690338357
MZB1,0.0007942286833856624,1.1876120603642015
NCAM1,-0.0011860232322395488,1.027933239031276
NDUFA4L2,0.003434191007293112,1.0588191136256953
NKG7,-8.161469787216099e-05,1.0919232048101986
NOSTRIN,-0.0271531754056895,1.032035385399036
OCIAD2,-0.0007588491989704466,1.0236779266211198
OPRPN,0.0017039303002978126,1.056503833141376
OXTR,-0.003421958364329507,0.9990123901509399
