gene,mean,std
CLEC9A,-9.2755924039301e-05,1.0461342691519144
CLECL1,0.013298062835211871,1.0983596720007862
CRISPLD2,-0.005214842501363749,1.0124519095767979
CTH,0.001549856230005872,1.035305848684055
CTLA4,0.005839360232701041,1.1777273307787317
CTSG,-1.3281060218200005e-05,1.1941962219092932
CX3CR1,-0.01667341521461645,1.0815818432518394
CXCL16,-0.006651159821509615,1.0031334532117975
CXCL5,0.0008343771255599276,1.0967135293864625
CXCR4,0.024090191080440068,1.1239976488695265
CYTIP,0.019522262859252806,1.0886563035498833
DAPK3,-0.005140348862627142,0.9993918290329472
DMKN,-0.006391759772848311,0.983880115651218
DNAAF1,-0.005537302515995824,0.9793635829806094
DNTTIP1,-0.009160581596780877,0.993607555716154
DPT,-0.00583620303659503,1.1101782850999022
DSC2,-0.014414718968531179,0.9773030961375108
DUSP2,0.005265065922220047,1.0776868579908614
DUSP5,0.00042121503070338635,1.0465002309453493
EGFL7,-0.005588233356697765,1.0596093829185078
EGFR,-0.0013226772715438449,1.046140493097793
EIF4EBP1,-0.010502571581294433,0.9730670212954043
ERN1,-0.001956571053488354,1.0695096740607286
ESM1,-0.0028841812527504187,1.0625301614309541
FAM49A,0.005798901910310105,1.0594933956058583
FASN,-0.018411860904731094,0.9579010716027414
FBLN1,-0.01817840996528621,1.1986190127407665
FCER1A,-0.004963706974765115,1.07377847275305
FCER1G,-0.02558922972891971,1.1245321438474674
FCGR3A,-0.005607716143102783,1.0277332971789872
FGL2,-0.007811801929607546,1.0944487377234424
FOXC2,0.0008294919968897816,1.0679841925977773
FOXP3,0.002307817782036149,1.1328072447379505
FSTL3,-0.00028276492561328786,1.041407459688444
GJB2,0.0015642855156373784,1.036159694822747
GLIPR1,0.014616088941660327,1.0742923543957572
GNLY,-0.0007397631318208056,1.148097165130546
GPR183,0.013181729733312837,1.0870846859509937
GZMA,0.0010520871995558414,1.107437660597928
GZMK,0.005452679353304553,1.075895280744652
HAVCR2,-0.0072047895430337894,1.015518230150862
HOOK2,-0.014135253069691728,0.9719787132505638
HOXD8,-0.0037580408446180207,1.0409711823053258
HOXD9,-0.0012246032383986445,1.0551350453854447
HPX,-0.005849821006646298,1.0027770200879909
IGF1,-0.006121544545836773,1.0302952550403763
IGSF6,-0.005580387449182547,1.0614590592871966
IL2RA,0.005819130328034635,1.0790265694810801
IL2RG,0.019716443580264885,1.0879331711310276
IL3RA,-0.003342877432822875,1.0344944788871726
IL7R,0.02782596377809043,1.250182263692543
ITGAM,-0.002208392322037883,1.0249838392137307
ITGAX,-0.00865570386651895,1.2049807628361346
ITM2C,0.0005931936687203798,1.0791226017952575
JUP,-0.022013923964245872,0.9892591946344221
KARS,0.0024974183694755716,1.0223765671963603
KDR,-0.007900728495959934,1.0707681963287248
KIT,-0.0016779843416021118,1.0676473029611204
KLF5,-0.0045698091664375835,1.0172210304705782
KLRB1,0.008998532237557725,1.1885814535638515
